type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,77,48.8,84,71.8,266,56256
Wohngebäude zusammen,66,-31.1,130,123.3,407,34313
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,21,-19.4,57,55.5,182,16151
Öffentliche Bauherren,2,5.4,10,7.8,26,3242
Unternehmen,18,-34.8,85,70.2,258,18083
Wohnungsunternehmen,12,-31,71,57.9,213,15681
Immobilienfonds,4,-3.4,12,8.9,35,1836
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,-0.4,2,3.5,10,566
Private Haushalte,46,-1.8,35,45.3,123,12988
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,11,80,-46,-51.5,-141,21943
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,3.6,2,1.4,6,2654
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,74.5,-48,-52.8,-147,18878
Fabrik- und Werkstattgebäude,2,-1.5,–,0.3,3,3825
Handelsgebäude,3,8.5,–,–,–,2558
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,3,67.5,-48,-53.2,-150,12495
Sonstige Nichtwohngebäude,1,1.9,–,–,–,411
Ausgewählte Infrastrukturgebäude,1,1.9,–,–,–,411
Öffentliche Bauherren,1,-1.5,–,–,–,3711
Unternehmen,9,79.6,-46,-51.5,-141,17821
Wohnungsunternehmen,2,3.9,2,1.4,6,2831
Immobilienfonds,1,5,–,–,–,2500
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.3,3,114
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,70.8,-48,-53.2,-150,12376
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,1.9,–,–,–,411
