type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,241,687.7,1114,760.7,3111,361196
Wohngebäude zusammen,215,83.9,1160,812.2,3252,212322
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,38,-0.6,209,187.3,685,51343
Von den Bauherren waren,15,27.9,332,216,946,49522
Öffentliche Bauherren,41,1.4,478,286.5,1144,89621
Wohnungsunternehmen,31,-12.6,248,200.1,780,59381
Immobilienfonds,4,-3.4,12,8.9,35,1836
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,0.9,5,2.8,10,820
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,16.6,213,74.8,319,27584
Private Haushalte,152,49.1,275,265.5,1015,66067
Organisationen ohne Erwerbszweck,7,5.5,75,44.2,147,7112
Nichtwohngebäude,26,603.8,-46,-51.5,-141,148874
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,158.7,2,1.4,6,59463
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,13,349.2,-48,-52.8,-147,61949
Fabrik- und Werkstattgebäude,5,214.8,–,0.3,3,42304
Handelsgebäude,3,8.5,–,–,–,2558
Warenlagergebäude,1,35.9,–,–,–,559
Hotels und Gaststätten,3,67.5,-48,-53.2,-150,12495
Sonstige Nichtwohngebäude,9,95.8,–,–,–,27462
Ausgewählte Infrastrukturgebäude,9,95.8,–,–,–,27462
Öffentliche Bauherren,9,121.4,–,–,–,41097
Unternehmen,13,449.8,-46,-51.5,-141,97699
Wohnungsunternehmen,2,3.9,2,1.4,6,2831
Immobilienfonds,1,5,–,–,–,2500
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,199.1,–,0.3,3,34624
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,241.9,-48,-53.2,-150,57744
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,4,32.7,–,–,–,10078
