type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,164,675,638.9,1030,688.9,2845,304940
Wohngebäude zusammen,149,370,115.1,1030,688.9,2845,178009
Wohngebäude mit 1 Wohnung,90,69,32.4,90,131.8,518,32147
Wohngebäude mit 2 Wohnungen,5,6,2.2,10,11.4,45,2765
Wohngebäude mit 3 o. m. Wohnungen,54,296,80.4,930,545.7,2282,143097
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,17,81,18.8,152,131.8,503,35192
Öffentliche Bauherren,13,99,22.5,322,208.2,920,46280
Unternehmen,23,132,36.2,393,216.3,886,71538
Wohnungsunternehmen,19,81,18.4,177,142.3,567,43700
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,1,0.9,5,2.8,10,820
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,50,16.9,211,71.3,309,27018
Private Haushalte,106,114,50.9,240,220.2,892,53079
Organisationen ohne Erwerbszweck,7,24,5.5,75,44.2,147,7112
Nichtwohngebäude,15,305,523.8,–,–,–,126931
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,104,155.1,–,–,–,56809
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,152,274.7,–,–,–,43071
Fabrik- und Werkstattgebäude,3,116,216.3,–,–,–,38479
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,1,9,35.9,–,–,–,559
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,8,49,94,–,–,–,27051
Ausgewählte Infrastrukturgebäude,8,49,94,–,–,–,27051
Öffentliche Bauherren,8,81,122.9,–,–,–,37386
Unternehmen,4,206,370.1,–,–,–,79878
Wohnungsunternehmen,–,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,106,199.1,–,–,–,34510
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,100,171.1,–,–,–,45368
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,3,18,30.8,–,–,–,9667
