type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,203,1148,1408.5,1223,755,3032,541711
Wohngebäude zusammen,180,378,141.4,1223,755,3032,158577
Wohngebäude mit 1 Wohnung,133,98,39.8,133,196.2,715,37375
Wohngebäude mit 2 Wohnungen,4,4,1.4,8,7.7,33,1673
Wohngebäude mit 3 o. m. Wohnungen,43,276,100.2,1082,551.1,2284,119529
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,12,66,20.2,196,125.7,540,27476
Öffentliche Bauherren,21,132,54.2,413,268.3,1043,59440
Unternehmen,74,130,40.9,533,264.5,1093,48198
Wohnungsunternehmen,53,106,33.5,512,221.6,946,41534
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",21,23,7.3,21,42.9,147,6664
Private Haushalte,85,117,46.3,277,222.2,896,50939
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,23,769,1267.1,–,–,–,383134
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,7,372,657,–,–,–,191015
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,107,202.5,–,–,–,37074
Fabrik- und Werkstattgebäude,2,9,10.4,–,–,–,908
Handelsgebäude,1,11,15.6,–,–,–,1684
Warenlagergebäude,–,–,–,–,–,–,–
Hotels und Gaststätten,2,64,96.3,–,–,–,30449
Sonstige Nichtwohngebäude,9,290,407.7,–,–,–,155045
Ausgewählte Infrastrukturgebäude,9,290,407.7,–,–,–,155045
Öffentliche Bauherren,7,155,207.4,–,–,–,88469
Unternehmen,14,576,1017.8,–,–,–,293206
Wohnungsunternehmen,2,35,64.4,–,–,–,17506
Immobilienfonds,1,58,108.7,–,–,–,45740
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,483,844.7,–,–,–,229960
Private Haushalte,1,30,29,–,–,–,1240
Organisationen o. Erwerbszweck,1,7,13,–,–,–,219
