type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,276,1375.6,1321,835.4,3328,642162
Wohngebäude zusammen,243,123.1,1323,836.6,3335,190159
Wohnheime,1,-10,63,14.7,100,4677
Wohngebäude mit Eigentumswohnungen,29,20.9,203,155.3,588,40272
Öffentliche Bauherren,21,54.2,413,268.3,1043,59440
Unternehmen,92,29.1,615,305,1293,66665
Wohnungsunternehmen,65,23.5,592,245.1,1115,54660
Immobilienfonds,4,0.5,1,14.8,27,4380
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",23,5.1,22,45.1,151,7625
Private Haushalte,126,41.1,293,258.8,981,62736
Organisationen ohne Erwerbszweck,4,-1.3,2,4.5,18,1318
Nichtwohngebäude,33,1252.5,-2,-1.2,-7,452003
Anstaltsgebäude,1,1.9,–,–,–,4611
Büro- und Verwaltungsgebäude,8,660.2,–,–,–,192027
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,14,180.8,-1,0.8,1,100315
Fabrik- und Werkstattgebäude,4,38.6,–,–,–,57292
Handelsgebäude,4,-27,-1,0.8,1,3079
Warenlagergebäude,1,-4.6,–,–,–,300
Hotels und Gaststätten,3,93.7,–,–,–,35611
Sonstige Nichtwohngebäude,10,409.7,-1,-2,-8,155050
Ausgewählte Infrastrukturgebäude,11,411.6,-1,-2,-8,159661
Öffentliche Bauherren,9,229.6,–,–,–,145029
Unternehmen,20,977.9,-1,-2,-8,303663
Wohnungsunternehmen,3,61.7,–,–,–,22668
Immobilienfonds,2,83.2,–,–,–,46015
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,-15.6,–,–,–,404
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,848.6,-1,-2,-8,234576
Private Haushalte,3,32.1,-1,0.8,1,3092
Organisationen o. Erwerbszweck,1,13,–,–,–,219
