type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,73,-32.9,98,80.4,296,100451
Wohngebäude zusammen,63,-18.3,100,81.6,303,31582
Wohnheime,1,-10,63,14.7,100,4677
Wohngebäude mit Eigentumswohnungen,17,0.7,7,29.6,48,12796
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,18,-11.8,82,40.5,200,18467
Wohnungsunternehmen,12,-10.1,80,23.5,169,13126
Immobilienfonds,4,0.5,1,14.8,27,4380
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,-2.2,1,2.2,4,961
Private Haushalte,41,-5.3,16,36.6,85,11797
Organisationen ohne Erwerbszweck,4,-1.3,2,4.5,18,1318
Nichtwohngebäude,10,-14.6,-2,-1.2,-7,68869
Anstaltsgebäude,1,1.9,–,–,–,4611
Büro- und Verwaltungsgebäude,1,3.2,–,–,–,1012
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,-21.7,-1,0.8,1,63241
Fabrik- und Werkstattgebäude,2,28.2,–,–,–,56384
Handelsgebäude,3,-42.6,-1,0.8,1,1395
Warenlagergebäude,1,-4.6,–,–,–,300
Hotels und Gaststätten,1,-2.7,–,–,–,5162
Sonstige Nichtwohngebäude,1,2,-1,-2,-8,5
Ausgewählte Infrastrukturgebäude,2,3.9,-1,-2,-8,4616
Öffentliche Bauherren,2,22.2,–,–,–,56560
Unternehmen,6,-39.9,-1,-2,-8,10457
Wohnungsunternehmen,1,-2.7,–,–,–,5162
Immobilienfonds,1,-25.5,–,–,–,275
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,-15.6,–,–,–,404
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,3.9,-1,-2,-8,4616
Private Haushalte,2,3.1,-1,0.8,1,1852
Organisationen o. Erwerbszweck,–,–,–,–,–,–
