type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,72,30.9,86,71.5,280,81458
Wohngebäude zusammen,61,"– 11,8",88,73.7,288,34535
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,16,"– 6,9",35,35.7,120,11772
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,22,"– 5,3",54,38,152,22948
Wohnungsunternehmen,19,"– 5,3",50,34.8,153,21246
Immobilienfonds,3,–,4,3.3,– 1,1702
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",–,–,–,–,–,–
Private Haushalte,39,"– 6,5",34,35.6,136,11587
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,11,42.7,– 2,"– 2,2",– 8,46923
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,9,– 1,"– 1,1",– 5,23174
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,18.1,–,–,–,3445
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,3,4.1,–,–,–,595
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,14,–,–,–,2850
Sonstige Nichtwohngebäude,3,15.6,– 1,"– 1,2",– 3,20304
Ausgewählte Infrastrukturgebäude,3,15.6,– 1,"– 1,2",– 3,20304
Öffentliche Bauherren,2,11.9,– 1,"– 1,2",– 3,17454
Unternehmen,8,27.4,– 1,"– 1,1",– 5,28735
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,4,22.3,–,–,–,27690
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 1,0",–,–,–,154
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,6.1,– 1,"– 1,1",– 5,891
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,3.4,–,–,–,734
