type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,215,532.2,990,656.3,2498,898076
Wohngebäude zusammen,182,128.2,991,657.9,2504,165295
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,30,56.7,505,285.8,982,76260
Öffentliche Bauherren,2,0.2,38,24.8,98,4030
Unternehmen,49,118.1,818,466.5,1740,120914
Wohnungsunternehmen,40,77.4,579,360.8,1326,96391
Immobilienfonds,4,0.9,28,21.3,95,7558
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,39.8,211,84.3,319,16965
Private Haushalte,131,9.9,135,166.6,666,40351
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,33,404,– 1,"– 1,6",– 6,732781
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,44.3,– 1,"– 1,1",– 5,39980
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,19,145.2,1,0.6,2,591908
Fabrik- und Werkstattgebäude,7,57.3,–,–,–,112776
Handelsgebäude,3,4.1,–,–,–,595
Warenlagergebäude,2,5,–,–,–,165
Hotels und Gaststätten,2,55.9,–,–,–,10033
Sonstige Nichtwohngebäude,9,214.6,– 1,"– 1,2",– 3,100893
Ausgewählte Infrastrukturgebäude,20,293,– 1,"– 1,2",– 3,681749
Öffentliche Bauherren,8,204.5,– 1,"– 1,2",– 3,94787
Unternehmen,23,187.9,–,"– 0,5",– 3,633960
Wohnungsunternehmen,1,1.8,1,0.6,2,259
Immobilienfonds,5,64.2,–,–,–,34873
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,4,36.3,–,–,–,13046
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,85.6,– 1,"– 1,1",– 5,585782
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,2,11.6,–,–,–,4034
