type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,83,752,946.3,785,577.8,2063,651531
1,0,residential_buildings,66,288,77.0,783,574.9,2052,155633
2,1,residential_buildings_with_1_apartment,25,21,6.0,25,36.0,130,10353
3,1,residential_buildings_with_2_apartments,6,5,2.0,12,11.4,48,2942
4,1,residential_buildings_with_3_or_more_apartments,35,262,69.0,746,527.6,1874,142338
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,15,101,25.0,208,202.7,611,58873
7,1,public_builders,6,36,9.8,121,71.4,293,27893
8,1,companies,22,201,45.2,548,408.2,1409,101953
9,8,housing_companies,15,175,39.6,495,360.5,1249,90319
10,8,real_estate_funds,5,19,2.3,38,33.5,114,7955
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,2,7,3.3,15,14.2,46,3679
14,1,private_households,38,51,22.1,114,95.4,350,25787
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,17,464,869.3,2,2.9,11,495898
17,16,institution_buildings,1,76,192.8,0,0.0,0,43653
18,16,office_and_administration_buildings,6,329,526.1,2,2.9,11,427803
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,8,54,142.2,0,0.0,0,21476
21,20,factory_and_workshop_buildings,4,6,10.1,0,0.0,0,1754
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,2,5,9.9,0,0.0,0,1048
24,20,hotels_and_restaurants,1,32,92.6,0,0.0,0,15467
25,16,other_non_residential_buildings,2,5,8.1,0,0.0,0,2966
26,16,selected_infrastructure_buildings,4,82,202.5,0,0.0,0,47275
27,16,public_builders,3,310,478.7,1,2.5,9,413780
28,16,companies,13,152,388.5,0,0.0,0,81498
29,28,housing_companies,1,76,192.8,0,0.0,0,43653
30,28,real_estate_funds,1,16,42.0,0,0.0,0,13006
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,1,3.4,0,0.0,0,487
33,28,trade_banking_services_insurance_transport_and_communications,9,59,150.3,0,0.0,0,24352
34,16,private_households,1,1,2.1,1,0.4,2,620
35,16,non_profit_organisations,0,0,0.0,0,0.0,0,0
