type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,92,36.1,97,117.5,349,106469
1,0,residential_buildings,83,-10,94,116.9,349,34072
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,20,-7.8,35,55.4,115,18263
4,1,public_builders,3,-1.9,3,1.9,9,41
5,1,companies,18,-13.4,32,52.1,131,17638
6,5,housing_companies,9,-10,12,20,51,4311
7,5,real_estate_funds,3,-1.1,5,7.3,23,3249
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,2,-3.1,2,4,11,461
10,5,trade_banking_services_insurance_transport_and_communications,4,0.8,13,20.9,46,9617
11,1,private_households,61,5.3,53,58.9,191,15138
12,1,non_profit_organizations,1,0,6,4,18,1255
13,0,non_residential_buildings,9,46.1,3,0.6,0,72397
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,14.6,0,0,0,4587
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,28.4,4,1.2,4,64299
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,4,42.7,4,1.2,4,34269
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,1,-14.3,0,0,0,30030
22,13,other_non_residential_buildings,2,3.1,-1,-0.6,-4,3511
23,13,selected_infrastructure_buildings,2,3.1,-1,-0.6,-4,3511
24,13,public_builders,1,0.6,-1,-0.6,-4,3503
25,13,companies,7,43,4,1.2,4,68886
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,0,0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,0,0,0,0,0,0
30,25,trade_banking_services_insurance_transport_and_communications,7,43,4,1.2,4,68886
31,13,private_households,0,0,0,0,0,0
32,13,non_profit_organisations,1,2.5,0,0,0,8
