type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,226,1020,888,636.1,2302,824577
Wohngebäude zusammen,199,63.7,889,638.2,2311,219398
Wohnheime,1,–,80,28.6,80,10240
Wohngebäude mit Eigentumswohnungen,33,5.5,149,124.1,436,40260
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,103,47.8,740,464.3,1682,148790
Wohnungsunternehmen,84,46.9,532,359.9,1294,113047
Immobilienfonds,6,0.2,40,22.3,93,12631
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,5.6,42,20.9,90,4878
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,"– 4,9",126,61.2,205,18234
Private Haushalte,94,15.9,141,167.5,603,68468
Organisationen ohne Erwerbszweck,2,–,8,6.5,26,2140
Nichtwohngebäude,27,956.3,– 1,"– 2,1",– 9,605179
Anstaltsgebäude,2,161.3,–,–,–,130514
Büro- und Verwaltungsgebäude,6,401.3,–,–,–,194738
Landwirtschaftliche Betriebsgebäude,1,23.1,–,–,–,338
Nichtlandwirtschaftliche Betriebsgebäude,10,113.6,– 2,"– 2,7",– 11,35736
Fabrik- und Werkstattgebäude,1,10.9,–,–,–,1190
Handelsgebäude,3,52.9,–,–,–,11627
Warenlagergebäude,2,53,–,–,–,19047
Hotels und Gaststätten,2,"– 6,2",– 2,"– 2,7",– 11,3707
Sonstige Nichtwohngebäude,8,257.1,1,0.6,2,243853
Ausgewählte Infrastrukturgebäude,11,418.8,1,0.6,2,374460
Öffentliche Bauherren,7,255.5,–,–,–,242803
Unternehmen,14,696.9,–,–,–,351870
Wohnungsunternehmen,2,39.5,–,–,–,8890
Immobilienfonds,4,289.4,–,–,–,153187
"Land- und Forstw., Tierh., Fischerei",1,23.1,–,–,–,338
Produzierendes Gewerbe,1,10.9,–,–,–,1190
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,334.1,–,–,–,188265
Private Haushalte,3,"– 3,6",– 2,"– 2,7",– 11,3779
Organisationen o. Erwerbszweck,3,7.5,1,0.6,2,6727
