type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,124,19.6,150,134.2,465,162583
Wohngebäude zusammen,116,"– 21,6",151,136.4,474,60143
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,24,"– 3,6",38,48.3,155,19892
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,72,"– 11,7",109,85.1,293,33467
Wohnungsunternehmen,64,"– 5,9",82,66.6,222,24970
Immobilienfonds,3,0.2,7,6.1,17,3034
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 6,0",20,12.4,54,5463
Private Haushalte,42,"– 9,9",34,44.8,155,24536
Organisationen ohne Erwerbszweck,2,–,8,6.5,26,2140
Nichtwohngebäude,8,41.2,– 1,"– 2,1",– 9,102440
Anstaltsgebäude,1,"– 1,4",–,–,–,9939
Büro- und Verwaltungsgebäude,1,33.3,–,–,–,75352
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,3,5.1,– 2,"– 2,7",– 11,15131
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,1,11.3,–,–,–,11424
Hotels und Gaststätten,2,"– 6,2",– 2,"– 2,7",– 11,3707
Sonstige Nichtwohngebäude,3,4.2,1,0.6,2,2018
Ausgewählte Infrastrukturgebäude,4,2.8,1,0.6,2,11957
Öffentliche Bauherren,1,2.1,–,–,–,875
Unternehmen,3,43.2,–,–,–,96715
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,44.6,–,–,–,86776
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,"– 1,4",–,–,–,9939
Private Haushalte,2,"– 6,2",– 2,"– 2,7",– 11,3707
Organisationen o. Erwerbszweck,2,2.1,1,0.6,2,1143
