type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,69,11.6,95,110.5,319,73736
Wohngebäude zusammen,61,"– 32,5",93,112.1,313,42615
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,14,"– 38,4",37,55.5,151,16704
Öffentliche Bauherren,4,–,6,4.1,17,672
Unternehmen,19,"– 25,6",55,72.6,196,20469
Wohnungsunternehmen,16,"– 26,0",45,62.1,163,17554
Immobilienfonds,2,–,8,6.4,25,1606
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,0.4,2,4.1,8,1309
Private Haushalte,37,"– 6,5",18,31.1,88,12559
Organisationen ohne Erwerbszweck,1,"– 0,3",14,4.4,12,8915
Nichtwohngebäude,8,44.1,2,"– 1,7",6,31121
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,8.5,2,0,8,7011
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,6,35.6,–,"– 1,7",– 2,24110
Ausgewählte Infrastrukturgebäude,6,35.6,–,"– 1,7",– 2,24110
Öffentliche Bauherren,1,1.8,–,–,–,869
Unternehmen,4,38.8,–,"– 1,7",– 2,26786
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,32.3,–,–,–,19754
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,6.4,–,"– 1,7",– 2,7032
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,3,3.5,2,0,8,3466
