type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,172,1351.3,1133,807.3,2917,575461
Wohngebäude zusammen,146,49.8,990,712.7,2628,198304
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,22,"– 29,9",241,137.8,517,41689
Öffentliche Bauherren,13,13.6,168,116.8,495,34670
Unternehmen,57,27.1,731,493.2,1767,124713
Wohnungsunternehmen,35,1.9,449,288.9,1084,80254
Immobilienfonds,14,22.7,128,95.3,404,15104
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,2.6,154,109,279,29355
Private Haushalte,75,9.5,77,98.3,354,30006
Organisationen ohne Erwerbszweck,1,"– 0,3",14,4.4,12,8915
Nichtwohngebäude,26,1301.4,143,94.7,289,377157
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,820.3,143,96.3,291,213661
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,266.2,–,–,–,70542
Fabrik- und Werkstattgebäude,2,41.9,–,–,–,11419
Handelsgebäude,3,119.1,–,–,–,17835
Warenlagergebäude,1,1.7,–,–,–,36
Hotels und Gaststätten,1,101.6,–,–,–,41104
Sonstige Nichtwohngebäude,13,215,–,"– 1,7",– 2,92954
Ausgewählte Infrastrukturgebäude,13,215,–,"– 1,7",– 2,92954
Öffentliche Bauherren,8,181.2,–,–,–,69713
Unternehmen,15,1116.7,141,94.7,281,303978
Wohnungsunternehmen,1,101.6,–,–,–,41104
Immobilienfonds,1,42.7,–,–,–,13400
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,4,75.9,–,–,–,31209
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,896.5,141,94.7,281,218265
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,3,3.5,2,0,8,3466
