type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,103,1054,1339.7,1038,696.9,2598,501725
Wohngebäude zusammen,85,323,82.3,897,600.5,2315,155689
Wohngebäude mit 1 Wohnung,37,28,12.9,37,53,216,13720
Wohngebäude mit 2 Wohnungen,4,4,3.2,8,8.4,24,2727
Wohngebäude mit 3 o. m. Wohnungen,44,291,66.3,852,539.2,2075,139242
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,8,50,8.5,204,82.4,366,24985
Öffentliche Bauherren,9,57,13.6,162,112.7,478,33998
Unternehmen,38,230,52.8,676,420.6,1571,104244
Wohnungsunternehmen,19,121,27.9,404,226.8,921,62700
Immobilienfonds,12,55,22.7,120,89,379,13498
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,54,2.2,152,104.9,271,28046
Private Haushalte,38,36,16,59,67.3,266,17447
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,18,731,1257.4,141,96.3,283,346036
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,415,811.8,141,96.3,283,206650
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,193,266.2,–,–,–,70542
Fabrik- und Werkstattgebäude,2,38,41.9,–,–,–,11419
Handelsgebäude,3,80,119.1,–,–,–,17835
Warenlagergebäude,1,1,1.7,–,–,–,36
Hotels und Gaststätten,1,73,101.6,–,–,–,41104
Sonstige Nichtwohngebäude,7,123,179.4,–,–,–,68844
Ausgewählte Infrastrukturgebäude,7,123,179.4,–,–,–,68844
Öffentliche Bauherren,7,123,179.4,–,–,–,68844
Unternehmen,11,608,1078,141,96.3,283,277192
Wohnungsunternehmen,1,73,101.6,–,–,–,41104
Immobilienfonds,1,24,42.7,–,–,–,13400
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,3,38,43.6,–,–,–,11455
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,472,890.1,141,96.3,283,211233
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
